"Artikelnummer";"Artikelname";"Interner Schlüssel";"GTIN";"HAN";"Eigene ID";"Attributgruppe";"Attributname";"Attributwert";"Sortiernummer";"Datentyp (sonst automatisch ermittelt)";"Attributart";"Englisch: Attributname";"Englisch: Attributwert";"MeaLana-Onlineshop Deutsch: Attributwert";"MeaLana-Onlineshop Englisch: Attributwert";"sockenwolle-online.at Deutsch: Attributwert";"sockenwolle-online.at Englisch: Attributwert";"bio-wolle.at Deutsch: Attributwert";"bio-wolle.at Englisch: Attributwert";"verschlusssache.at Deutsch: Attributwert";"verschlusssache.at Englisch: Attributwert";
"DB-5691-48-2";"Knopf Kokos meliert 30mm";"35248";;"515";;"Eigene Attribute";"ampel_text_gelb";"geringe Stückzahl lagernd, wird nachbestellt !";"6";"Freitext";"Attribut";"ampel_text_gelb";;;;;;;;;;
"DB-5691-48-2";"Knopf Kokos meliert 30mm";"35248";;"515";;"Eigene Attribute";"ampel_text_gruen";"mehr als 10 Stk. lagernd";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"DB-5691-48-2";"Knopf Kokos meliert 30mm";"35248";;"515";;"Eigene Attribute";"ampel_text_rot";"derzeit nicht lieferbar !";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"DB-99555-SI";"Taschenverschluss Metall 15cm";"33251";"8717738602650";"615151";;"Eigene Attribute";"ampel_text_gelb";"geringe Stückzahl lagernd, wird nachbestellt !";"6";"Freitext";"Attribut";"ampel_text_gelb";;;;;;;;;;
"DB-99555-SI";"Taschenverschluss Metall 15cm";"33251";"8717738602650";"615151";;"Eigene Attribute";"ampel_text_gruen";"mehr als 10 Stk. lagernd";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"DB-99555-SI";"Taschenverschluss Metall 15cm";"33251";"8717738602650";"615151";;"Eigene Attribute";"ampel_text_rot";"derzeit nicht lieferbar !";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"DB-0023";"Wollspulen KST groß ";"33250";"8717738000234";"611863";;"Eigene Attribute";"ampel_text_gelb";"geringe Stückzahl lagernd, wird nachbestellt !";"6";"Freitext";"Attribut";"ampel_text_gelb";;;;;;;;;;
"DB-0023";"Wollspulen KST groß ";"33250";"8717738000234";"611863";;"Eigene Attribute";"ampel_text_gruen";"mehr als 10 Stk. lagernd";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"DB-0023";"Wollspulen KST groß ";"33250";"8717738000234";"611863";;"Eigene Attribute";"ampel_text_rot";"derzeit nicht lieferbar !";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"KR-PO-7-4";"Kromski Polonaise gebeizt Mahagonifarbe";"31729";;;;"Eigene Attribute";"ampel_text_gruen";"bestellbar";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"KR-PO-7-3";"Kromski Polonaise gebeizt Walnußfarbe";"31728";;;;"Eigene Attribute";"ampel_text_gruen";"bestellbar";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"KR-PO-7-2";"Kromski Polonaise klar lackiert";"31727";;;;"Eigene Attribute";"ampel_text_gruen";"bestellbar";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"KR-PO-7-1";"Kromski Polonaise unlackiert";"31726";;;;"Eigene Attribute";"ampel_text_gruen";"bestellbar";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"KR-PO";"Kromski Polonaise";"31725";;;;"Eigene Attribute";"ampel_text_gruen";"bestellbar";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"KR-SY-6-4";"Kromski Symphony gebeizt Mahagonifarbe";"31724";;;;"Eigene Attribute";"ampel_text_gruen";"bestellbar";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"KR-SY-6-3";"Kromski Symphony gebeizt Walnußfarbe";"31723";;;;"Eigene Attribute";"ampel_text_gruen";"bestellbar";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"KR-SY-6-2";"Kromski Symphony klar lackiert";"31722";;;;"Eigene Attribute";"ampel_text_gruen";"bestellbar";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"KR-SY-6-1";"Kromski Symphony unlackiert";"31721";;;;"Eigene Attribute";"ampel_text_gruen";"bestellbar";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"KR-SY";"Kromski Symphony";"31720";;;;"Eigene Attribute";"ampel_text_gruen";"bestellbar";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"KR-MI-5-4";"Kromski Minstrel gebeizt Mahagonifarbe";"31719";;;;"Eigene Attribute";"ampel_text_gruen";"bestellbar";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"KR-MI-5-3";"Kromski Minstrel gebeizt Walnußfarbe";"31718";;;;"Eigene Attribute";"ampel_text_gruen";"bestellbar";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"KR-MI-5-2";"Kromski Minstrel klar lackiert";"31717";;;;"Eigene Attribute";"ampel_text_gruen";"bestellbar";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"KR-MI-5-1";"Kromski Minstrel unlackiert";"31716";;;;"Eigene Attribute";"ampel_text_gruen";"bestellbar";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"KR-MI";"Kromski Minstrel";"31715";;;;"Eigene Attribute";"ampel_text_gruen";"bestellbar";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"KR-SO-4-4";"Kromski Sonata mit Tasche gebeizt Mahagonifarbe";"31714";;;;"Eigene Attribute";"ampel_text_gruen";"bestellbar";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"KR-SO-4-3";"Kromski Sonata mit Tasche gebeizt Walnußfarbe";"31713";;;;"Eigene Attribute";"ampel_text_gruen";"bestellbar";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"KR-SO-4-2";"Kromski Sonata mit Tasche lackiert";"31712";;;;"Eigene Attribute";"ampel_text_gruen";"bestellbar";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"KR-SO-4-1";"Kromski Sonata mit Tasche unlackiert";"31711";;;;"Eigene Attribute";"ampel_text_gruen";"bestellbar";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"KR-SO";"Kromski Sonata mit Tasche";"31710";;;;"Eigene Attribute";"ampel_text_gruen";"bestellbar";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"KR-FA-1-005";"Kromski Fantasia coral";"31709";;;;"Eigene Attribute";"ampel_text_gruen";"bestellbar";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"KR-FA-1-010";"Kromski Fantasia mint";"31708";;;;"Eigene Attribute";"ampel_text_gruen";"bestellbar";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"KR-FA-1-001";"Kromski Fantasia schwarz";"31707";;;;"Eigene Attribute";"ampel_text_gruen";"bestellbar";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"KR-IL-3-4";"Kromski Interlude gebeizt Mahagonifarbe";"31706";;;;"Eigene Attribute";"ampel_text_gruen";"bestellbar";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"KR-IL-3-3";"Kromski Interlude gebeizt Walnußfarbe";"31705";;;;"Eigene Attribute";"ampel_text_gruen";"bestellbar";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"KR-IL-3-2";"Kromski Interlude klar lackiert";"31704";;;;"Eigene Attribute";"ampel_text_gruen";"bestellbar";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"KR-IL-3-1";"Kromski Interlude unlackiert";"31703";;;;"Eigene Attribute";"ampel_text_gruen";"bestellbar";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"KR-IL";"Kromski Interlude";"31702";;;;"Eigene Attribute";"ampel_text_gruen";"bestellbar";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"KR-PL-2-4";"Kromski Prelude gebeizt Mahagonifarbe";"31701";;;;"Eigene Attribute";"ampel_text_gruen";"bestellbar";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"KR-PL-2-3";"Kromski Prelude gebeizt Walnußfarbe";"31700";;;;"Eigene Attribute";"ampel_text_gruen";"bestellbar";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"KR-PL-2-2";"Kromski Prelude klar lackiert";"31699";;;;"Eigene Attribute";"ampel_text_gruen";"bestellbar";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"KR-PL-2-1";"Kromski Prelude unlackiert";"31698";;;;"Eigene Attribute";"ampel_text_gruen";"bestellbar";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"KR-PL";"Kromski Prelude";"31697";;;;"Eigene Attribute";"ampel_text_gruen";"bestellbar";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
